work_id,title,author,rating,category,fandom,relationship,character,additional_tags,warnings,language,date updated,status,words,chapters,comments,kudos,bookmarks,hits
129924,Harry Potter Drabbles - Slash,Celandine,Teen And Up Audiences,"M/M, F/F",Harry Potter - J. K. Rowling,"Draco Malfoy/Harry Potter , Hermione Granger/Ginny Weasley , Fleur Delacour/Nymphadora Tonks , Lucius Malfoy/Severus Snape , Cedric Diggory/Harry Potter , Charlie Weasley/Neville Longbottom , Harry Potter/Severus Snape , Sirius Black/Remus Lupin , Harry Potter/Blaise Zabini , Draco Malfoy/Ron Weasley , Harry Potter/Percy Weasley , Remus Lupin/Harry Potter , James Potter/Severus Snape , Neville Longbottom/Percy Weasley , Neville Longbottom/Ron Weasley , Kingsley Shacklebolt/Severus Snape , Percy Weasley/Sirius Black , Draco Malfoy/Percy Weasley , Remus Lupin/Severus Snape , Neville Longbottom/Draco Malfoy , Neville Longbottom/Harry Potter , Lucius Malfoy/Remus Lupin , Neville Longbottom/Oliver Wood , Neville Longbottom/Bill Weasley , Hermione Granger/Luna Lovegood , George Weasley/Severus Snape , Viktor Krum/Percy Weasley , Charlie Weasley/Draco Malfoy , Madam Hooch/Minerva McGonagall , Sirius Black/Severus Snape , Albus Dumbledore/Gellert Grindelwald , Draco Malfoy/Voldemort , Ron Weasley/Dennis Creevey","Bill Weasley , Blaise Zabini , Cedric Diggory , Charlie Weasley , Draco Malfoy , Fleur Delacour , Ginny Weasley , Harry Potter , Hermione Granger , James Potter , Kingsley Shacklebolt , Lucius Malfoy , Luna Lovegood , Neville Longbottom , Nymphadora Tonks , Oliver Wood , Percy Weasley , Remus Lupin , Severus Snape , Sirius Black , Viktor Krum , Minerva McGonagall , Madam Hooch , Albus Dumbledore , Gellert Grindelwald , Voldemort , Dennis Creevey","Drabble Collection , Romance , Drama , Angst , Humor , Community: hd100 , Community: hex_files , Community: snarry100 , Community: lupin100 , Community: snupin100 , Hurt/Comfort , Crossdressing , First Time , First Kiss , First Date , Community: adventdrabbles , Holidays","Underage , Major Character Death",English,17 May 2016,Work in Progress,"19,564",182/?,11,224,18,17469
930416,Siren Song,The_Fictionist,Not Rated,No category,Harry Potter - J. K. Rowling,"Harry Potter/Tom Riddle , Harry Potter/Voldemort , Harry Potter/Tom Riddle | Voldemort , Harry Potter & Tom Riddle","Tom Riddle , Harry Potter",Sirens,Creator Chose Not To Use Archive Warnings,English,01 Nov 2016,Complete Work,"11,278",3/3,44,1264,229,17466
272673,Inhibitions,Athy,Teen And Up Audiences,M/M,Harry Potter - Fandom,Harry / Draco,,"Romance , Drama",No Archive Warnings Apply,English,11 Feb 2011,Complete Work,"16,329",1/1,11,766,116,17460
17313611,His Deathly Beautiful Winter,Luxis,Teen And Up Audiences,M/M,Harry Potter - J. K. Rowling,"Harry Potter/Tom Riddle | Voldemort , Harry Potter/Voldemort","Harry Potter , Tom Riddle | Voldemort","Intelligent!Harry , Grey-Dark!Harry , Charismatic!Harry , Harry is a sarcastic shit , Mindlink-Horcruxes , Mindscapes , Sane Voldemort , Death as a Mentor , Beauxbatons , France (Country) , Politics , Slow Build",No Archive Warnings Apply,English,28 Jul 2019,Work in Progress,"2,772",2/?,173,1097,336,17449
7996633,Soul Magic,CeNedraRiva,Teen And Up Audiences,"Gen, M/M",Harry Potter - J. K. Rowling,"Harry Potter/Tom Riddle , Harry Potter & Tom Riddle","Harry Potter , Tom Riddle | Voldemort , Diary Tom Riddle","Loneliness , Pining , Betrayal , introspective , Soul Bond , weird soul magic , Empathy Bond , Angst , Angst with a Happy Ending , Hurt/Comfort , Obsession , Sane Voldemort , Self-Sacrifice , Depressed Harry , Canon Compliant , canon adjacent , Overthinking , Harry Needs a Hug , Platonic Soulmates , Platonic Love , might be romantic , could become more , love is love , it just is , tomarrybigbang2016",Creator Chose Not To Use Archive Warnings,English,09 Sep 2016,Complete Work,"18,667",1/1,58,1300,284,17431
25323439,A Plan of Deepest Subtlety and Cunning,Lomonaaeren,Teen And Up Audiences,Gen,Harry Potter - J. K. Rowling,"Harry Potter & Slytherin Students , Harry Potter & Severus Snape , Hermione Granger & Harry Potter & Ron Weasley","Harry Potter , Draco Malfoy , Theodore Nott , Millicent Bulstrode , Pansy Parkinson , Ron Weasley , Hermione Granger , Gregory Goyle , Blaise Zabini , Daphne Greengrass , Vincent Crabbe , Severus Snape","Slytherin Harry Potter , Alternate Universe - Canon Divergence , Present Tense , Dark Harry , Minor Character Death , Severus Snape Being a Bastard , Horcruxes , Minor character suicide","Creator Chose Not To Use Archive Warnings , Graphic Depictions Of Violence",English,17 Jul 2020,Complete Work,"6,747",1/1,118,2641,623,17426
25060402,Obsidian's Desire,Lomonaaeren,Teen And Up Audiences,M/M,Harry Potter - J. K. Rowling,Marcus Flint/Harry Potter,"Harry Potter , Marcus Flint , Rabastan Lestrange , Rodolphus Lestrange , Hermione Granger , Kingsley Shacklebolt","Courtship , Humor , Not Epilogue Compliant , Present Tense , Romance , Gossip",Graphic Depictions Of Violence,English,05 Jul 2020,Complete Work,"9,824",2/2,263,2316,504,17426
26166541,Storm Bringer,DeceptionsMistriss,Teen And Up Audiences,"F/M, M/M",Harry Potter - J. K. Rowling,Rabastan Lestrange/Harry Potter,"Harry Potter , Rabastan Lestrange , Cassiopeia Black , Arcturus Black , Augusta Longbottom , Neville Longbottom","Alternate Universe - Harry Potter Setting , female!Harry Potter - Freeform , Grey!Harry Potter , Black Family-centric (Harry Potter) , Black Family Drama (Harry Potter) , Implied/Referenced Child Abuse , Child Neglect , graphic description of violence , Character Death , Abusive Dursley Family (Harry Potter) , Dursley Family Dies (Harry Potter)",Graphic Depictions Of Violence,English,02 Feb 2021,Work in Progress,"35,767",12/?,50,633,286,17421
749120,Dead Helpful,rrenvy,Teen And Up Audiences,M/M,Harry Potter - J. K. Rowling,Harry Potter/Sanguini,"Harry Potter , Sanguini , Severus Snape , Albus Dumbledore , Draco Malfoy","Vampires , Rare Pairings , Romance , Humor",No Archive Warnings Apply,English,05 Apr 2013,Complete Work,"30,230",6/6,63,1687,545,17417
10811772,The Unknown,KYOMIMI,Teen And Up Audiences,"M/M, Multi",Harry Potter - J. K. Rowling,"Remus Lupin/Severus Snape , Sirius Black/Severus Snape , James Potter/Severus Snape , Arthur Weasley/Severus Snape , Lucius Malfoy/Severus Snape , Severus Snape/Voldemort , Tom Riddle/Severus Snape , Sirius Black & Remus Lupin & James Potter & Severus Snape , Lucius Malfoy & Severus Snape & Arthur Weasley , Lily Evans Potter & Severus Snape , Tom Riddle & Severus Snape","Remus Lupin , Sirius Black , James Potter , Arthur Weasley , Lucius Malfoy , Tom Riddle | Voldemort , Original Male Character(s) , Lily Evans Potter , Narcissa Black Malfoy , Bellatrix Black Lestrange , Regulus Black , Severus Snape","Marauders' Era , Good Tom Riddle , Student Tom Riddle , He's in the same year as the Marauders , And severus , Lucius and Arthur too , Bottom Severus , Bottom Severus Snape , Top Remus , Top Remus Lupin , Top Sirius , Top Sirius Black , Top James , Top James Potter , Top Lucius , Top Lucius Malfoy , Top Arthur , Top Arthur Weasley , Top Tom Riddle , So many Tops , Everyone Loves Severus , Severus is still a sarcastic asshole , But we love him for it , Mpreg , Veela Severus , Veela Snape , pregnant severus , Pregnant Snape , in the later chapters , Maybe near the end , Can't have him getting pregnant at 15 can we ;&gt;","Creator Chose Not To Use Archive Warnings , Graphic Depictions Of Violence , No Archive Warnings Apply",English,16 Feb 2018,Work in Progress,"12,484",12/?,181,390,62,17417
